activity_id,activity_name,category,planned_start,planned_end,planned_duration_days,predecessor,status,planned_quantity_percent,current_actual_percent,unit,project_id,data_type,source_file
F10-A019,Road Crash Barrier Installation - Chainage 500-1000,Road,2026-09-03,2026-09-07,5,F10-A005,At Risk,100,64,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A029,Earthwork Surplus Soil Disposal - Phase 2,Earthwork,2026-09-03,2026-09-15,13,F10-A024,In Progress,100,47,m³,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A005,Earthwork Grading - North Section,Earthwork,2026-09-04,2026-09-17,14,F10-A002,In Progress,100,31,m²,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A015,Finishing Sealant Application - Phase 1,Finishing,2026-09-05,2026-09-15,11,F10-A012,In Progress,100,65,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A006,Utility Sewer Pipeline Laying - Package 1,Utility,2026-09-07,2026-09-18,12,F10-A004,In Progress,100,25,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A008,Structural Column Formwork - Package 2,Structural,2026-09-07,2026-09-14,8,F10-A005,In Progress,100,36,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A022,Road Tack Coat Application - Zone B,Road,2026-09-08,2026-09-15,8,F10-A016,In Progress,100,15,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A025,Utility Sewer Line Relocation - Package 3,Utility,2026-09-08,2026-09-15,8,F10-A002,At Risk,100,30,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A002,Rehabilitation Existing Culvert Rehabilitation - Phase 2,Rehabilitation,2026-09-10,2026-09-23,14,F10-A001,Completed,100,97,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A021,Foundation PCC - East Section,Foundation,2026-09-12,2026-09-24,13,F10-A019,In Progress,100,30,m³,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A020,Utility Sewer Line Relocation - Zone C,Utility,2026-09-14,2026-09-22,9,F10-A009,At Risk,100,72,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A027,Drainage Pipe Joint Testing - Phase 1,Drainage,2026-09-15,2026-09-26,12,F10-A003,In Progress,100,85,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A016,Earthwork Final Level Preparation - Phase 3,Earthwork,2026-09-18,2026-09-28,11,F10-A013,In Progress,100,47,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A004,Finishing Waterproofing Membrane - Zone A,Finishing,2026-09-25,2026-09-27,3,F10-A001,Completed,100,96,m²,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A024,Utility Stormwater Pipeline Laying - Phase 2,Utility,2026-09-25,2026-10-03,9,F10-A001,In Progress,100,18,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A030,Utility Sewer Line Relocation - South Section,Utility,2026-09-26,2026-10-02,7,F10-A026,In Progress,100,16,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A026,Drainage Pipe Joint Testing - Zone B,Drainage,2026-09-27,2026-10-07,11,F10-A005,In Progress,100,23,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A003,Finishing Metal Railing Installation - Zone C,Finishing,2026-10-04,2026-10-11,8,F10-A002,Completed,100,96,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A018,Utility Stormwater Pipeline Laying - Zone C,Utility,2026-10-05,2026-10-17,13,F10-A013,In Progress,100,41,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
